382,6.2/10,63%,,2 wins & 10 nominations
383,6.7/10,32%,47/100,Nominated for 1 Oscar. 3 wins & 7 nominations total
384,5.4/10,27%,,
385,6.7/10,86%,62/100,
386,5.8/10,12%,,4 nominations
387,5.9/10,0%,,1 nomination
388,7.0/10,,,
389,6.9/10,83%,,2 wins & 6 nominations
390,6.7/10,72%,65/100,
391,6.6/10,58%,,1 nomination
393,4.0/10,12%,34/100,2 nominations
405,4.5/10,,28/100,1 nomination
406,6.3/10,82%,,3 wins & 1 nomination
407,7.2/10,57%,53/100,1 win & 4 nominations
408,6.6/10,31%,,
409,6.6/10,53%,,1 nomination
410,6.8/10,77%,61/100,Nominated for 1 Oscar. 3 wins & 16 nominations total
412,7.2/10,85%,90/100,Won 1 Oscar. 15 wins & 33 nominations total
413,6.1/10,25%,46/100,
414,5.5/10,21%,,
415,5.6/10,16%,53/100,1 nomination
416,5.2/10,13%,,
417,7.0/10,83%,74/100,1 win & 1 nomination
418,5.4/10,54%,33/100,
419,5.0/10,24%,37/100,1 win & 1 nomination
420,5.5/10,9%,16/100,3 nominations
421,6.6/10,,,1 win & 1 nomination
422,6.2/10,64%,,2 nominations
423,6.3/10,38%,,2 nominations
424,6.2/10,37%,54/100,1 nomination
425,6.4/10,79%,,Won 1 Oscar. 4 wins & 5 nominations total
426,6.0/10,70%,65/100,6 nominations
427,4.7/10,17%,26/100,1 win & 2 nominations
428,7.8/10,97%,80/100,1 win & 3 nominations
429,5.3/10,46%,21/100,2 nominations
430,5.1/10,11%,,
431,7.9/10,81%,65/100,2 wins & 9 nominations
432,5.6/10,17%,43/100,2 nominations
433,5.7/10,19%,,
434,6.5/10,67%,60/100,Nominated for 3 Oscars. 1 win & 12 nominations total
435,5.4/10,35%,49/100,2 nominations
436,5.2/10,22%,36/100,2 wins & 11 nominations
437,5.2/10,14%,,
438,5.9/10,20%,,
440,6.8/10,95%,76/100,Nominated for 1 Oscar. 2 wins & 6 nominations total
441,7.6/10,92%,78/100,1 win & 4 nominations
442,6.7/10,62%,34/100,1 win & 7 nominations
444,4.4/10,19%,28/100,4 nominations
445,5.8/10,18%,33/100,
446,8.1/10,86%,83/100,Nominated for 2 Oscars. 25 wins & 12 nominations total
448,7.1/10,85%,,Nominated for 1 Oscar. 6 wins & 9 nominations total
449,7.2/10,86%,62/100,1 nomination
450,6.7/10,16%,,4 nominations
451,6.2/10,65%,57/100,1 nomination
452,6.7/10,94%,,2 wins & 1 nomination
453,6.2/10,37%,42/100,
454,6.8/10,75%,58/100,Nominated for 2 Oscars. 3 wins & 7 nominations total
455,6.0/10,71%,79/100,7 wins & 2 nominations
456,7.6/10,88%,81/100,5 wins & 5 nominations
457,7.8/10,96%,87/100,Won 1 Oscar. 13 wins & 37 nominations total
458,6.6/10,48%,,Nominated for 1 Oscar. 1 win & 2 nominations total
459,5.8/10,33%,51/100,3 nominations
460,4.8/10,3%,31/100,2 nominations
461,5.7/10,75%,,4 wins & 4 nominations
464,6.2/10,58%,63/100,1 win & 5 nominations
466,6.6/10,56%,64/100,1 nomination
467,5.2/10,38%,,
468,6.6/10,58%,,1 win & 1 nomination
469,6.9/10,32%,,12 wins
470,4.6/10,0%,,
471,7.2/10,59%,53/100,3 wins & 4 nominations
472,5.5/10,61%,,1 win & 2 nominations
473,5.0/10,6%,,
474,7.2/10,96%,74/100,Nominated for 3 Oscars. 2 wins & 17 nominations total
475,8.1/10,94%,84/100,Nominated for 7 Oscars. 7 wins & 41 nominations total
476,6.4/10,25%,,
477,7.3/10,96%,76/100,Nominated for 2 Oscars. 3 wins & 15 nominations total
478,5.3/10,22%,,
479,6.6/10,35%,46/100,
480,8.1/10,92%,68/100,Won 3 Oscars. 44 wins & 27 nominations total
481,6.7/10,58%,49/100,4 wins & 4 nominations
482,6.5/10,36%,49/100,2 wins & 1 nomination
484,5.8/10,88%,,1 win & 1 nomination
485,6.4/10,39%,44/100,1 win & 16 nominations
486,5.6/10,25%,50/100,4 nominations
487,5.5/10,6%,,
488,6.8/10,,43/100,1 win & 1 nomination
489,5.1/10,31%,49/100,1 win & 1 nomination
490,6.4/10,57%,52/100,2 nominations
491,6.7/10,65%,62/100,3 nominations
492,7.3/10,94%,71/100,Nominated for 1 BAFTA Film Award4 nominations total
493,7.5/10,84%,76/100,2 wins & 4 nominations
494,6.4/10,63%,62/100,2 wins & 2 nominations
495,6.6/10,86%,,4 wins
496,7.2/10,91%,71/100,3 wins & 2 nominations
497,7.3/10,90%,80/100,Nominated for 1 BAFTA Film Award5 wins & 11 nominations total
499,5.9/10,52%,,
500,7.0/10,72%,53/100,Won 1 Oscar. 11 wins & 10 nominations total
501,7.8/10,88%,85/100,Nominated for 1 BAFTA Film Award8 wins & 7 nominations total
502,4.5/10,7%,36/100,1 win
504,6.1/10,53%,,1 nomination
505,4.5/10,14%,,4 wins & 9 nominations
506,7.2/10,83%,74/100,Nominated for 2 Oscars. 15 wins & 11 nominations total
507,7.5/10,79%,71/100,1 win & 1 nomination
508,7.7/10,80%,66/100,Won 2 Oscars. 20 wins & 23 nominations total
509,7.6/10,91%,89/100,Won 3 Oscars. 64 wins & 56 nominations total
510,6.1/10,34%,51/100,Nominated for 1 Oscar. 4 wins & 5 nominations total
511,6.5/10,43%,51/100,
512,5.9/10,29%,,2 nominations
513,6.2/10,24%,,
514,6.9/10,72%,,1 win & 1 nomination
515,7.8/10,95%,86/100,Nominated for 8 Oscars. 17 wins & 41 nominations total
516,6.2/10,12%,44/100,
517,6.3/10,33%,56/100,1 win & 1 nomination
518,5.9/10,39%,,3 nominations
519,4.1/10,6%,40/100,3 nominations
520,6.7/10,41%,44/100,1 nomination
521,6.6/10,27%,50/100,2 nominations
522,6.8/10,79%,61/100,8 wins & 7 nominations
523,7.0/10,86%,77/100,3 wins & 7 nominations
524,7.5/10,78%,71/100,2 wins & 1 nomination
526,7.0/10,63%,,7 wins & 5 nominations
527,8.9/10,98%,94/100,Won 7 Oscars. 91 wins & 49 nominations total
528,5.4/10,22%,,
529,7.4/10,100%,89/100,Nominated for 1 Oscar. 6 wins & 11 nominations total
531,7.3/10,88%,74/100,Nominated for 1 BAFTA Film Award3 wins & 6 nominations total
532,6.8/10,64%,64/100,1 nomination
533,6.1/10,34%,50/100,4 nominations
534,7.3/10,97%,,Nominated for 2 Oscars. 7 wins & 14 nominations total
535,7.7/10,95%,79/100,Nominated for 1 Oscar. 17 wins & 19 nominations total
536,6.3/10,43%,,2 nominations
537,5.9/10,74%,64/100,1 win & 4 nominations
538,6.8/10,88%,72/100,Nominated for 1 Oscar. 6 nominations total
539,6.8/10,75%,72/100,Nominated for 2 Oscars. 4 wins & 19 nominations total
540,5.1/10,11%,38/100,4 wins & 9 nominations
541,8.1/10,89%,84/100,Nominated for 2 Oscars. 12 wins & 19 nominations total
542,5.9/10,21%,33/100,1 nomination
543,6.5/10,51%,54/100,
544,5.8/10,17%,36/100,
546,4.1/10,28%,35/100,2 nominations
547,6.2/10,24%,41/100,1 nomination
548,5.5/10,19%,,
549,7.3/10,92%,,7 wins & 4 nominations
550,6.3/10,28%,,
551,8.0/10,95%,82/100,Nominated for 1 Oscar. 6 wins & 17 nominations total
552,6.4/10,28%,43/100,2 wins & 3 nominations
553,7.8/10,74%,50/100,2 nominations
555,7.9/10,93%,59/100,1 win & 10 nominations
556,7.4/10,96%,78/100,Nominated for 1 Oscar. 6 wins & 3 nominations total
558,6.1/10,21%,,5 nominations
562,7.4/10,90%,83/100,4 wins & 17 nominations
563,7.1/10,75%,,2 wins & 11 nominations
564,5.2/10,33%,44/100,
567,6.5/10,56%,53/100,5 wins & 9 nominations
568,6.4/10,88%,,Nominated for 1 BAFTA Film Award3 wins & 4 nominations total
569,6.2/10,33%,57/100,2 nominations
573,6.9/10,57%,,1 nomination
574,6.3/10,91%,66/100,3 wins & 5 nominations
575,6.3/10,23%,45/100,2 wins
577,5.7/10,47%,,4 nominations
579,6.7/10,57%,58/100,6 wins & 12 nominations
580,6.0/10,63%,,
581,7.8/10,97%,,Nominated for 5 Primetime Emmys. 7 wins & 9 nominations total
583,7.2/10,68%,,13 wins & 20 nominations
585,6.1/10,63%,54/100,3 nominations
586,7.7/10,67%,63/100,Nominated for 2 Oscars. 11 wins & 6 nominations total
587,7.1/10,75%,52/100,Won 2 Oscars. 18 wins & 23 nominations total
588,8.0/10,95%,86/100,Won 2 Oscars. 32 wins & 22 nominations total
589,8.5/10,93%,75/100,Won 4 Oscars. 36 wins & 33 nominations total
590,8.0/10,83%,72/100,Won 7 Oscars. 51 wins & 38 nominations total
592,7.5/10,72%,69/100,Won 1 Oscar. 9 wins & 26 nominations total
593,8.6/10,96%,85/100,Won 5 Oscars. 69 wins & 51 nominations total
594,7.6/10,,95/100,Won 1 Oscar. 11 wins & 6 nominations total
595,8.0/10,94%,95/100,Won 2 Oscars. 31 wins & 32 nominations total
596,7.4/10,100%,99/100,Won 2 Oscars. 7 wins total
597,7.1/10,65%,51/100,Nominated for 1 Oscar. 8 wins & 11 nominations total
599,7.9/10,90%,97/100,Nominated for 2 Oscars. 6 wins & 8 nominations total
600,6.0/10,83%,49/100,2 nominations
602,7.4/10,89%,,Nominated for 1 Oscar. 1 win & 2 nominations total
605,6.5/10,53%,,Nominated for 1 Oscar. 4 wins & 6 nominations total
606,5.3/10,23%,41/100,
608,8.1/10,94%,85/100,Won 2 Oscars. 83 wins & 58 nominations total
609,5.9/10,56%,,3 nominations
610,6.7/10,61%,51/100,4 wins & 2 nominations
611,5.1/10,25%,21/100,1 win & 2 nominations
612,5.2/10,45%,,1 nomination
613,6.8/10,74%,,1 win
615,7.5/10,100%,,10 wins & 3 nominations
616,7.1/10,64%,66/100,3 wins
617,7.0/10,83%,75/100,5 wins & 13 nominations
618,5.4/10,14%,,5 nominations
619,2.7/10,0%,25/100,4 nominations
626,5.7/10,12%,,
627,6.8/10,62%,,1 win & 1 nomination
628,7.7/10,77%,47/100,Nominated for 1 Oscar. 10 wins & 12 nominations total
631,5.6/10,20%,,3 nominations
632,7.6/10,79%,,Nominated for 1 BAFTA Film Award8 wins & 5 nominations total
633,6.7/10,77%,,6 wins & 2 nominations
634,2.4/10,0%,,2 wins & 1 nomination
635,7.1/10,73%,71/100,3 wins & 2 nominations
636,4.9/10,,,
